location,city,state,country,doi
Brookgreen Gardens,Waccamaw River,South Caroline,United States,10.5194/bg-10-8171-2013
Colorado River Delta,,"Arizona, Colorado, Utah",United States,10.3390/w13121677
Yukon-Kuskokwim Delta,,Alaska,United States,10.3390/rs10081280
St. John's Marsh Conservation Area,,Florida,United States,10.2136/sssaj2011.0026
Dorchester County,,Maryland,United States,10.2112/04-0211.1
Rio Grande,,,United States,10.1890/ES12-00269.1
Milltail Creek,,,United States,10.1371/journal.pone.0216540
Chesapeake Bay,,,United States,10.1111/jvs.12774
Altamaha River,,Georgia,United States,10.1029/2005JG000071
Sacramento Valley,,California,United States,10.1021/acs.jafc.9b02947
