location,city,state,country,doi,latitude,longitude
Brookgreen Gardens,Waccamaw River,South Caroline,United States,10.5194/bg-10-8171-2013,33.5211073,-79.09216105211542
Colorado River Delta,,"Arizona, Colorado, Utah",United States,10.3390/w13121677,38.7496021,-108.071137
Yukon-Kuskokwim Delta,,Alaska,United States,10.3390/rs10081280,60.7884064,-161.7851549098815
St. John's Marsh Conservation Area,,Florida,United States,10.2136/sssaj2011.0026,27.7567667,-81.4639835
Dorchester County,,Maryland,United States,10.2112/04-0211.1,38.3930694,-76.0995677
Rio Grande,,,United States,10.1890/ES12-00269.1,37.5668223,-106.3832155
Milltail Creek,,,United States,10.1371/journal.pone.0216540,37.010194,-76.955072
Chesapeake Bay,,,United States,10.1111/jvs.12774,38.2280573,-76.26293446833088
Altamaha River,,Georgia,United States,10.1029/2005JG000071,31.6896723,-81.8658431
Sacramento Valley,,California,United States,10.1021/acs.jafc.9b02947,38.58507465,-121.50098790609522
