DOI,State
10.1371/journal.pone.0216540,North Carolina
0.1007/s10533-021-00797-5,North Carolina
10.1890/0012-9658,	Florida
10.1007/s10533-016-0189-5,North Carolina
,Louisiana
10.1007/s10021-018-0325-2,North Carolina
,Georgia
10.1016/j.ocecoaman.2017.09.010,New Jersey
10.5194/bg-10-8171-2013,South Carolina
10.1093/aob/mcz039,North Carolina
10.1016/j.biocon.2016.07.035,Connecticut
10.1007/s11069-019-03706-0,North Carolina
10.1111/1365-2664.13169,Texas
10.1016/j.envexpbot.2020.104254,Maryland
10.1007/s10533-014-9986-x,North Carolina
10.2112/04-0211.1,Maryland
10.1007/s10021-021-00686-w,Massachusetts
10.2136/sssaj2011.0026,Michigan
