,DOI,Col1,Col2,Col3,Col4,Col5,Col6,Col7
0,10.1080/10106049.2020.1856197,Egypt (7),Mut (4),El-Qalamun (4),Mut City (3),Taref (2),Dakhla (2),NE (2)
1,10.3390/w13121677,the Colorado River (13),Mexico (12),Colorado (7),the Gulf of California (7),Nile (6),Egypt (6),Indus (5)
2,10.1007/s41207-021-00257-4,the Kerkennah Islands (9),Kerkennah (4),Tunisia (3),Moscow (2),the Kerkennah archipelago (2),Chergui (2),Russia (1)
3,10.3390/su13084476,the Huolin River (5),Huolin River (4),Da’an (4),China (2),The Huolin River (2),the Chagan Lake (2),Criteria (2)
4,10.1007/s12665-021-09774-5,Italy (5),San Vitale (3),Adriatic Sea (2),Romagna (1),Nazarnia (1),Northern Italy (1),Carminati (1)
5,10.1007/s42990-021-00060-x,States (16),Spain (9),Portugal (8),France (5),Brussels (3),Mediterranean (2),Uruguay (2)
6,10.1016/j.ejrh.2021.100842,′′ (21),Youpwe (14),Douala (13),Mirzavand (6),N (6),Shalem (4),Wouri (4)
7,10.1016/j.scitotenv.2020.144654,China (8),Western Songnen Plain (3),s.e. (3),Chongqing 400715 (2),Japan (2),Phragmites (1),Chongqing 400714 (1)
8,10.1016/j.jhydrol.2021.126158,Germany (8),the Wadden Sea (4),Holt (2),Eq (2),Wadden (2),Salem (2),Radon (1)
9,10.1016/j.jenvman.2021.112993,HF (10),China (8),Values (3),Tavakkoli (2),Beijing (1),Shanghai (1),Qadir (1)
